epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.523,3.42708,4.13696,1.91483,0,0,0,0,3.75222,4.17537,1.44396,0.000412809,0.000412809,0.000412809
2,35.4974,3.13777,3.97236,1.59184,0.01317,0.11832,0.00917,0.00293,3.38624,3.76761,1.29455,0.000821264,0.000821264,0.000821264
3,53.5269,2.98513,3.69077,1.51752,0.02009,0.23385,0.02309,0.00611,3.58901,3.10873,1.3817,0.00122147,0.00122147,0.00122147
4,71.1367,3.03805,3.49976,1.52617,0.02668,0.31832,0.03748,0.00829,3.3637,3.00371,1.2467,0.00121287,0.00121287,0.00121287
5,88.8328,2.99537,3.31409,1.51496,0.29434,0.14545,0.03663,0.00724,3.52907,2.88211,1.30759,0.0012005,0.0012005,0.0012005
6,106.538,2.96849,3.06936,1.45739,0.57574,0.18561,0.08966,0.02027,3.21641,3.01861,1.29535,0.00118812,0.00118812,0.00118812
7,124.64,2.91774,2.99431,1.42025,0.53575,0.13295,0.02867,0.00699,3.57515,3.06457,1.32729,0.00117575,0.00117575,0.00117575
8,142.399,2.86733,2.84305,1.45065,0.60659,0.14205,0.10798,0.02162,3.35411,2.69476,1.23445,0.00116337,0.00116337,0.00116337
9,160.213,2.83945,2.64228,1.43619,0.63936,0.10606,0.09943,0.02152,3.39386,2.52157,1.2366,0.001151,0.001151,0.001151
10,178.148,2.84521,2.54523,1.4031,0.60118,0.19763,0.11608,0.03194,3.34511,2.45624,1.31004,0.00113863,0.00113863,0.00113863
11,197.365,2.79429,2.41831,1.44681,0.42348,0.22685,0.12028,0.02909,3.38269,2.44421,1.28081,0.00112625,0.00112625,0.00112625
12,215.061,2.89202,2.34613,1.43333,0.41051,0.21851,0.12426,0.02608,3.38812,2.35644,1.25187,0.00111388,0.00111388,0.00111388
13,232.935,2.81105,2.16806,1.37011,0.39996,0.21283,0.14193,0.0328,3.29866,2.5266,1.24078,0.0011015,0.0011015,0.0011015
14,250.796,2.89958,2.18298,1.45532,0.38479,0.14313,0.10055,0.02151,3.38216,2.37281,1.28995,0.00108913,0.00108913,0.00108913
15,268.586,2.74365,2.24307,1.44404,0.42636,0.23584,0.15226,0.03763,2.97276,2.1401,1.26756,0.00107675,0.00107675,0.00107675
16,286.578,2.73285,2.21961,1.35463,0.38868,0.27992,0.15051,0.04282,2.93502,2.00748,1.22204,0.00106437,0.00106437,0.00106437
17,304.238,2.78742,2.10681,1.37695,0.39223,0.28553,0.15212,0.0326,3.17748,1.92284,1.2081,0.001052,0.001052,0.001052
18,321.868,2.68965,2.07864,1.39404,0.36505,0.20384,0.09861,0.01992,3.45222,1.96831,1.26579,0.00103962,0.00103962,0.00103962
19,339.564,2.72231,1.99819,1.34765,0.41447,0.1848,0.13053,0.02688,3.3399,1.92422,1.23947,0.00102725,0.00102725,0.00102725
20,357.471,2.75272,2.04209,1.37491,0.42015,0.35521,0.18691,0.05235,2.94161,1.83404,1.1625,0.00101488,0.00101488,0.00101488
21,375.427,2.73327,1.97782,1.35331,0.40024,0.3117,0.1989,0.06341,2.80045,1.9258,1.14641,0.0010025,0.0010025,0.0010025
22,393.223,2.59126,1.99719,1.34906,0.14944,0.37557,0.20528,0.0577,2.89896,1.87745,1.13785,0.000990125,0.000990125,0.000990125
23,411.19,2.70774,1.87443,1.33695,0.15469,0.27973,0.16573,0.0383,3.18652,1.82134,1.1739,0.00097775,0.00097775,0.00097775
24,428.93,2.67208,1.92572,1.34826,0.65961,0.2072,0.14601,0.0343,3.2376,1.76668,1.2225,0.000965375,0.000965375,0.000965375
25,446.317,2.58508,2.00049,1.37506,0.10971,0.23032,0.10408,0.02402,3.36337,1.80897,1.21952,0.000953,0.000953,0.000953
26,463.97,2.59928,1.85158,1.34363,0.12364,0.33128,0.14317,0.03585,3.15345,1.82462,1.20191,0.000940625,0.000940625,0.000940625
27,481.735,2.61996,1.88836,1.36658,0.1679,0.38286,0.21536,0.05194,3.08472,1.7607,1.16418,0.00092825,0.00092825,0.00092825
28,499.65,2.57105,1.79481,1.35817,0.17845,0.37116,0.22275,0.05442,3.06618,1.7179,1.15842,0.000915875,0.000915875,0.000915875
29,517.593,2.59595,1.81339,1.3439,0.19899,0.39516,0.21398,0.06295,2.89032,1.73914,1.17527,0.0009035,0.0009035,0.0009035
30,534.989,2.53963,1.82341,1.39527,0.26744,0.34569,0.21385,0.04827,3.10758,1.73176,1.25268,0.000891125,0.000891125,0.000891125
31,552.45,2.63501,1.76226,1.35271,0.313,0.34423,0.25953,0.0629,2.9834,1.68365,1.17547,0.00087875,0.00087875,0.00087875
32,569.911,2.46766,1.73669,1.31018,0.24885,0.35805,0.27224,0.08217,2.76721,1.6706,1.14056,0.000866375,0.000866375,0.000866375
33,587.625,2.5709,1.67662,1.32292,0.21391,0.32893,0.25795,0.07589,2.88191,1.684,1.16864,0.000854,0.000854,0.000854
34,605.49,2.5517,1.72744,1.35653,0.1936,0.40942,0.26285,0.08534,2.76943,1.67736,1.13805,0.000841625,0.000841625,0.000841625
35,623.281,2.39501,1.75996,1.33035,0.19672,0.42224,0.24256,0.07301,2.84093,1.67964,1.14776,0.00082925,0.00082925,0.00082925
36,641.718,2.50858,1.67625,1.32826,0.1964,0.47779,0.22498,0.0555,2.98823,1.70416,1.16336,0.000816875,0.000816875,0.000816875
37,659.142,2.54134,1.75751,1.28728,0.20514,0.45848,0.24081,0.07142,2.83212,1.73649,1.2298,0.0008045,0.0008045,0.0008045
38,676.817,2.53278,1.72401,1.34468,0.28077,0.3651,0.26566,0.07989,2.87094,1.68367,1.20656,0.000792125,0.000792125,0.000792125
39,694.441,2.47685,1.61792,1.32732,0.24865,0.50719,0.24984,0.06864,3.00538,1.61846,1.17024,0.00077975,0.00077975,0.00077975
40,711.989,2.51552,1.68656,1.32772,0.26729,0.48695,0.2549,0.08167,2.81962,1.62625,1.15117,0.000767375,0.000767375,0.000767375
41,729.935,2.45448,1.66686,1.25427,0.26213,0.48628,0.27712,0.08337,2.81226,1.66922,1.16473,0.000755,0.000755,0.000755
42,747.751,2.489,1.61065,1.28351,0.27692,0.49072,0.26533,0.0717,2.94715,1.63273,1.19958,0.000742625,0.000742625,0.000742625
43,765.758,2.49844,1.65437,1.32783,0.28839,0.47126,0.31319,0.09018,2.78207,1.61197,1.1452,0.00073025,0.00073025,0.00073025
44,785.955,2.43037,1.58366,1.30157,0.33295,0.42822,0.30666,0.08555,2.85148,1.63991,1.16375,0.000717875,0.000717875,0.000717875
45,806.99,2.5066,1.69769,1.3286,0.42953,0.49309,0.3741,0.09193,2.87623,1.53316,1.16091,0.0007055,0.0007055,0.0007055
46,828.638,2.42531,1.60146,1.29537,0.29301,0.53523,0.32167,0.10853,2.6397,1.59578,1.17431,0.000693125,0.000693125,0.000693125
47,848.059,2.42944,1.67377,1.2646,0.29472,0.59576,0.32456,0.09612,2.71255,1.61569,1.17854,0.00068075,0.00068075,0.00068075
48,866.292,2.40961,1.54642,1.28173,0.29201,0.47315,0.27,0.0686,3.00148,1.55365,1.19859,0.000668375,0.000668375,0.000668375
49,884.371,2.45282,1.51499,1.25967,0.3614,0.43925,0.2997,0.06415,3.05412,1.45388,1.15762,0.000656,0.000656,0.000656
50,902.078,2.40708,1.55333,1.29044,0.34257,0.41525,0.31561,0.08352,2.89302,1.48076,1.16388,0.000643625,0.000643625,0.000643625
51,919.988,2.42991,1.54305,1.28663,0.34246,0.44531,0.30862,0.07753,2.94869,1.50248,1.17497,0.00063125,0.00063125,0.00063125
52,938.057,2.31435,1.56859,1.26196,0.32049,0.44595,0.29434,0.08343,2.87479,1.56254,1.15323,0.000618875,0.000618875,0.000618875
53,956.084,2.44665,1.55604,1.26485,0.29709,0.50398,0.29226,0.07643,2.8934,1.55067,1.14952,0.0006065,0.0006065,0.0006065
54,973.88,2.31664,1.51472,1.29832,0.28714,0.49148,0.24986,0.05933,3.03535,1.55368,1.16122,0.000594125,0.000594125,0.000594125
55,991.237,2.34236,1.54306,1.2912,0.32582,0.47031,0.30072,0.07287,2.98603,1.53044,1.14613,0.00058175,0.00058175,0.00058175
56,1001.22,2.33538,1.48454,1.27217,0.32132,0.54109,0.27817,0.07092,2.92018,1.62792,1.15481,0.000569375,0.000569375,0.000569375
57,1011.04,2.27578,1.58859,1.22759,0.29575,0.58681,0.2898,0.07919,2.84182,1.62302,1.18568,0.000557,0.000557,0.000557
