epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.926,3.08464,3.24233,1.56991,0.16405,0.28072,0.16715,0.04818,2.68703,1.90793,1.35433,0.00041632,0.00041632,0.00041632
2,213.933,2.81663,2.28298,1.43504,0.14657,0.2691,0.13731,0.04037,2.61364,2.02803,1.4415,0.000816494,0.000816494,0.000816494
3,318.961,2.7537,2.06575,1.41034,0.32961,0.46882,0.30236,0.08477,2.68677,1.56014,1.39532,0.00120017,0.00120017,0.00120017
4,422.654,2.69031,1.90147,1.37248,0.35612,0.49528,0.35363,0.11112,2.43515,1.51014,1.34835,0.00117575,0.00117575,0.00117575
5,603.535,2.62138,1.839,1.35737,0.3766,0.53298,0.38401,0.11962,2.45017,1.44871,1.29211,0.001151,0.001151,0.001151
6,739.127,2.58738,1.78341,1.34,0.36461,0.60437,0.39583,0.12946,2.29178,1.41345,1.31057,0.00112625,0.00112625,0.00112625
7,839.935,2.50317,1.74145,1.33622,0.37098,0.617,0.39089,0.13093,2.35001,1.3945,1.35553,0.0011015,0.0011015,0.0011015
8,941.886,2.50762,1.67454,1.31083,0.38563,0.60134,0.44851,0.15048,2.31778,1.36758,1.27828,0.00107675,0.00107675,0.00107675
9,1043.75,2.47856,1.64741,1.32248,0.40187,0.54637,0.44732,0.14302,2.41426,1.31015,1.28568,0.001052,0.001052,0.001052
10,1149.97,2.45814,1.6571,1.30394,0.42112,0.53135,0.44367,0.14928,2.22986,1.34536,1.30564,0.00102725,0.00102725,0.00102725
11,1254.62,2.43982,1.59985,1.30506,0.36926,0.63168,0.43592,0.14899,2.23426,1.34102,1.27776,0.0010025,0.0010025,0.0010025
12,1361.14,2.40459,1.56845,1.27799,0.36401,0.65912,0.44382,0.15032,2.24399,1.32806,1.28322,0.00097775,0.00097775,0.00097775
13,1465.78,2.40461,1.52662,1.26686,0.4634,0.63314,0.49049,0.17437,2.23629,1.25534,1.30661,0.000953,0.000953,0.000953
14,1571.31,2.37137,1.49802,1.25129,0.43667,0.63547,0.49244,0.18145,2.16732,1.22468,1.24713,0.00092825,0.00092825,0.00092825
15,1676.94,2.34977,1.46418,1.23552,0.4499,0.62284,0.4788,0.1601,2.29995,1.26361,1.27669,0.0009035,0.0009035,0.0009035
16,1782.63,2.29903,1.45168,1.23468,0.39009,0.62317,0.46326,0.16596,2.23671,1.23417,1.30262,0.00087875,0.00087875,0.00087875
17,1887.46,2.30831,1.42426,1.25082,0.47356,0.64072,0.52033,0.17293,2.35189,1.1844,1.28504,0.000854,0.000854,0.000854
18,1992.13,2.29513,1.3992,1.22263,0.50077,0.59831,0.53668,0.18892,2.2113,1.20982,1.29438,0.00082925,0.00082925,0.00082925
19,2097.74,2.27264,1.40437,1.21939,0.45771,0.60363,0.49531,0.17959,2.12834,1.21377,1.26906,0.0008045,0.0008045,0.0008045
20,2203.38,2.25861,1.38769,1.2243,0.45312,0.66564,0.52179,0.18047,2.20497,1.21243,1.27767,0.00077975,0.00077975,0.00077975
21,2308.7,2.24772,1.38642,1.20791,0.46637,0.66242,0.54018,0.19358,2.12446,1.20761,1.25949,0.000755,0.000755,0.000755
22,2413.9,2.24939,1.38957,1.23559,0.49609,0.59781,0.51029,0.18029,2.14904,1.16772,1.26676,0.00073025,0.00073025,0.00073025
23,2519.41,2.2375,1.34452,1.20745,0.53165,0.63516,0.58439,0.20305,2.14065,1.14863,1.24886,0.0007055,0.0007055,0.0007055
24,2624.75,2.2237,1.33172,1.21338,0.50507,0.61728,0.56759,0.21273,2.0814,1.14853,1.25574,0.00068075,0.00068075,0.00068075
25,2729.82,2.22723,1.35174,1.18493,0.48442,0.62976,0.56023,0.20939,2.07606,1.14554,1.23321,0.000656,0.000656,0.000656
26,2836.03,2.20465,1.30116,1.19283,0.53541,0.6158,0.59669,0.22107,2.08057,1.12514,1.2903,0.00063125,0.00063125,0.00063125
27,2941.19,2.18462,1.36512,1.18065,0.51209,0.6175,0.58186,0.20884,2.18783,1.18975,1.26268,0.0006065,0.0006065,0.0006065
28,3047.19,2.15572,1.30638,1.18254,0.54342,0.63842,0.61242,0.22047,2.12473,1.11239,1.26439,0.00058175,0.00058175,0.00058175
29,3153.23,2.16993,1.29393,1.18295,0.5449,0.60194,0.5849,0.23083,2.04907,1.13356,1.22043,0.000557,0.000557,0.000557
30,3258.93,2.15757,1.27165,1.16852,0.53591,0.64233,0.5893,0.22844,2.06718,1.09642,1.24995,0.00053225,0.00053225,0.00053225
31,3364.22,2.13564,1.24728,1.15155,0.55061,0.61945,0.60521,0.22866,2.04032,1.0857,1.22913,0.0005075,0.0005075,0.0005075
32,3469.62,2.13798,1.27053,1.17492,0.53129,0.68558,0.61443,0.23014,2.03743,1.07956,1.24227,0.00048275,0.00048275,0.00048275
33,3576.43,2.12283,1.26765,1.16698,0.5813,0.64559,0.63918,0.24112,2.06098,1.08298,1.23417,0.000458,0.000458,0.000458
34,3682.5,2.10769,1.22582,1.15747,0.5661,0.61504,0.62666,0.2408,2.04807,1.07793,1.20617,0.00043325,0.00043325,0.00043325
35,3787.72,2.06941,1.22111,1.15128,0.56549,0.60149,0.61736,0.24913,2.01627,1.06934,1.20748,0.0004085,0.0004085,0.0004085
36,3893.51,2.08861,1.23199,1.15093,0.58215,0.6158,0.63308,0.25421,2.00121,1.06995,1.1922,0.00038375,0.00038375,0.00038375
