epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0767,2.93471,4.12059,2.40381,0.0016,0.02424,0.00124,0.00052,2.67147,4.12313,1.87173,7.5e-05,7.5e-05,7.5e-05
2,16.8983,2.55002,3.9573,1.88087,0.00477,0.06515,0.005,0.00129,2.61035,4.02395,1.77771,0.000160891,0.000160891,0.000160891
3,18.8959,2.50204,3.60456,1.75296,0.01311,0.15511,0.02604,0.00578,2.45007,4.02615,1.61119,0.00024505,0.00024505,0.00024505
4,20.9256,2.36884,3.37913,1.64673,0.01612,0.18958,0.02231,0.00482,2.39545,3.94423,1.60805,0.000327476,0.000327476,0.000327476
5,23.378,2.41681,3.0726,1.65755,0.0162,0.20104,0.02926,0.00756,2.66034,3.83628,1.72937,0.00040817,0.00040817,0.00040817
6,25.1656,2.26388,2.80818,1.56606,0.02361,0.31032,0.04015,0.01084,2.63319,3.7544,1.60856,0.000487131,0.000487131,0.000487131
7,26.9643,2.33066,2.54321,1.58618,0.02277,0.28546,0.04035,0.01169,2.61181,3.63887,1.62418,0.00056436,0.00056436,0.00056436
8,28.7416,2.31902,2.28264,1.62486,0.02487,0.30554,0.04294,0.0146,2.37168,3.61732,1.55411,0.000639856,0.000639856,0.000639856
9,30.507,2.24345,2.16651,1.61485,0.03111,0.38499,0.08953,0.0243,2.27523,3.49114,1.58513,0.00071362,0.00071362,0.00071362
10,32.3142,2.22639,2.03125,1.54282,0.03159,0.40218,0.06522,0.02169,2.30831,3.39139,1.59201,0.000785651,0.000785651,0.000785651
11,34.2447,2.19164,2.0294,1.57912,0.03351,0.43215,0.06818,0.01872,2.35826,3.40242,1.64824,0.00085595,0.00085595,0.00085595
12,36.0328,2.19377,1.94837,1.58078,0.05147,0.71179,0.2014,0.06188,2.28984,2.81522,1.61566,0.000924516,0.000924516,0.000924516
13,37.7824,2.22307,1.99386,1.59684,0.07452,0.63542,0.23824,0.0676,2.46711,2.63919,1.63867,0.00099135,0.00099135,0.00099135
14,39.4975,2.09746,1.79434,1.55017,0.03651,0.44039,0.09701,0.02691,3.18521,2.55488,1.82099,0.00105645,0.00105645,0.00105645
15,41.2802,2.14066,1.78386,1.56782,0.08853,0.62997,0.23402,0.05731,2.59478,2.47526,1.81572,0.00107675,0.00107675,0.00107675
